"a","s","l"
"JClinPsychiatry","J. Clin. Psychiatry.","Journal of Clinical Psychiatry"
"JClinPsychol","J. Clin. Psychol.","Journal of Clinical Psychology"
"JClinPsychopharmacol","J. Clin. Psychopharmacol.","Journal of Clinical Psychopharmacology"
"JClinVirol","J. Clin. Virol.","Journal of Clinical Virology"
"JCognRehab","J. Cogn. Rehab.","Journal of Cognitive Rehabilitation"
"JCommunDis","J. Commun. Dis.","Journal of Communicable Diseases"
"JCommunDisord","J. Commun. Disord.","Journal of Communication Disorders"
"JCommunityHealth","J. Community Health","Journal of Community Health"
"JCompNeurol","J. Comp. Neurol.","Journal of Comparative Neurology"
"JCompPathol","J. Comp. Pathol.","Journal of Comparative Pathology"
"JCompPhysiolA","J. Comp. Physiol. [A]","Journal of Comparative Physiology. A, Sensory, Neural, and Behavioral Physiology"
"JCompPhysiolB","J. Comp. Physiol. [B]","Journal of Comparative Physiology. B, Biochemical, Systemic, and Environmental Physiology"
"JCompPsychol","J. Comp. Psychol.","Journal of Comparative Psychology"
"JComputGraphStatist","J. Comput. Graph. Statist.","Journal of Computational and Graphical Statistics"
"JComputBiol","J. Comput. Biol.","Journal of Computational Biology"
"JComputNeurosci","J. Comput. Neurosci.","Journal of Computational Neuroscience"
"JComputAssistLearning","J. Comput. Assist. Learning","Journal of Computer Assisted Learning"
"JComputAssistTomogr","J. Comput. Assist. Tomogr.","Journal of Computer Assisted Tomography"
"JComputAidedMolDes","J. Comput. Aided Mol. Des.","Journal of Computer-Aided Molecular Design"
"JConch","J. Conchol.","Journal of Conchology"
"JConsultClinPsychol","J. Consult. Clin. Psychol.","Journal of Consulting and Clinical Psychology"
"JCraniomaxillofacSurg","J. Craniomaxillofac. Surg.","Journal of Cranio-Maxillo-Facial Surgery"
"JCraniofacGenetDevBiol","J. Craniofac. Genet. Dev. Biol.","Journal of Craniofacial Genetics and Developmental Biology"
"JCraniofacGenetDevBiolSuppl","J. Craniofac. Genet. Dev. Biol. Suppl.","Journal of Craniofacial Genetics and Developmental Biology. Supplement"
"JCrustBiol","J. Crust. Biol.","Journal of Crustacean Biology"
"JCutanPathol","J. Cutan. Pathol.","Journal of Cutaneous Pathology"
"JDairyRes","J. Dairy Res.","Journal of Dairy Research"
"JDairySci","J. Dairy Sci.","Journal of Dairy Science"
"AADSProceedings","AADS Proceedings","Journal of Dental Education"
"JDentEduc","J. Dent. Educ.","Journal of Dental Education"
"JDentRes","J. Dent. Res.","Journal of Dental Research"
"JDent","J. Dent.","Journal of Dentistry"
"JDermatolSurgOncol","J. Dermatol. Surg. Oncol.","Journal of Dermatologic Surgery and Oncology"
"JDermatolSci","J. Dermatol. Sci.","Journal of Dermatological Science"
"JDermatol","J. Dermatol.","Journal of Dermatology"
"JDevBehavPediatr","J. Dev. Behav. Pediatr.","Journal of Developmental and Behavioral Pediatrics"
"JDevPhysiol","J. Dev. Physiol.","Journal of Developmental Physiology"
"JDiabetComplications","J. Diabet. Complications","Journal of Diabetic and its Complications"
"JDiarrhoealDisRes","J. Diarrhoeal Dis. Res.","Journal of Diarrhoeal Diseases Research"
"JDigitImaging","J. Digit. Imaging","Journal of Digital Imaging"
"JDrugEduc","J. Drug Educ.","Journal of Drug Education"
"JEcol","J. Ecol.","Journal of Ecology"
"JEconEntomol","J. Econ. Entomol.","Journal of Economic Entomology"
"JEducBehavStat","J. Educ. Behav. Stat.","Journal of Educational and Behavioral Statistics"
"JElectrocardiol","J. Electrocardiol.","Journal of Electrocardiology"
"JElectromyographyKinesiol","J. Electromyography Kinesiol.","Journal of Electromyography and Kinesiology"
"JElectronMicroscTokyo","J. Electron Microsc.","Journal of Electron Microscopy"
"JElectronMicroscTech","J. Electron Microsc. Tech.","Journal of Electron Microscopy Technique"
"JEmergMed","J. Emerg. Med.","Journal of Emergency Medicine"
"JEndocrinolInvest","J. Endocrinol. Invest.","Journal of Endocrinological Investigation"
"JEndocrinol","J. Endocrinol.","Journal of Endocrinology"
"JEndovascTher","J. Endovasc. Ther.","Journal of Endovascular Therapy"
"JEntomol","J. Entomol.","Journal of Entomology"
"JEnvironEng","J. Environ. Eng.","Journal of Environmental Engineering"
"JEnvironManage","J. Environ. Manage.","Journal of Environmental Management"
"JEM","JEM","Journal of Environmental Monitoring"
"JEnvironPatholToxicolOncol","J. Environ. Pathol. Toxicol. Oncol.","Journal of Environmental Pathology, Toxicology and Oncology"
"JEPTO","JEPTO","Journal of Environmental Pathology, Toxicology, and Oncology"
"JEnvirProtectSci","J. Envir. Protect. Sci.","Journal of Environmental Protection Science"
"JEPS","JEPS","Journal of Environmental Protection Science"
"JEnvirQual","J. Environ. Quality","Journal of Environmental Quality"
"JEnvironSciHealthB","J. Environ. Sci. Health [B]","Journal of Environmental Science and Health. Part B: Pesticides, Food Contaminants, and Agricultural Wastes"
"JEnzymInhib","J. Enzym. Inhib.","Journal of Enzyme Inhibition"
"JEpidemiolCommunityHealth","J. Epidemiol. Community Health","Journal of Epidemiology and Community Health"
"JEpilepsy","J. Epilepsy","Journal of Epilepsy"
"JEthnopharmacol","J. Ethnopharmacol.","Journal of Ethnopharmacology"
"JEvalClinPract","J. Eval. Clin. Pract.","Journal of Evaluation in Clinical Practice"
"JEvolBiol","J. Evol. Biol.","Journal of Evolutionary Biology"
"JExpAnimSci","J. Exp. Anim. Sci.","Journal of Experimental Animal Science"
"JExpBiol","J. Exp. Biol.","Journal of Experimental Biology"
"JExpBot","J. Exp. Bot.","Journal of Experimental Botany"
"JExpChildPsychol","J. Exp. Child. Psychol.","Journal of Experimental Child Psychology"
"jembe","J. Exp. Mar. Biol. Ecol.","Journal of Experimental Marine Biology and Ecology"
"JExpPathol","J. Exp. Pathol.","Journal of Experimental Pathology"
"JExpPsycholAnimBehav","J. Exp. Psychol. [Anim. Behav.]","Journal of Experimental Psychology: Animal Behavior Processes"
"JExpPsycholGen","J. Exp. Psychol. [Gen.]","Journal of Experimental Psychology: General"
"JExpPsycholHumPercept","J. Exp. Psychol. [Hum. Percept.]","Journal of Experimental Psychology: Human Perception and Performance"
"JExpPsycholLearnMemCogn","J. Exp. Psychol. [Learn Mem. Cogn.]","Journal of Experimental Psychology. Learning, Memory, and Cognition"
"JExpSocPsychol","J. Exp. Soc. Psychol.","Journal of Experimental Social Psychology"
"JExpZool","J. Exp. Zool.","Journal of Experimental Zoology"
"JExpZoolSuppl","J. Exp. Zool. Suppl.","Journal of Experimental Zoology. Supplement"
"JExpMed","J. Exp. Med.","Journal of Experimetnal Medicine"
"JFamPract","J. Fam. Pract.","Journal of Family Practice"
"JFermentBioengineer","J. Ferment. Bioengineer.","Journal of Fermentation and Bioengineering"
"JFermentTechnol","J. Ferment. Technol.","Journal of Fermentation Technology"
"JFinance","J. Finance","Journal of Finance"
"JFishWildlManage","J. Fish. Wildl. Manage.","Journal of Fish and Wildlife Management"
"JFishBiol","J. Fish Biol.","Journal of Fish Biology"
"JFishDieseases","J. Fish Dieseases","Journal of Fish Diseases"
"JFluorescence","J. Fluorescence","Journal of Fluorescence"
"JFoodCompAnal","J. Food Comp. Anal.","Journal of Food Composition and Analysis"
"JFoodEng","J. Food Eng.","Journal of Food Engineering"
"JFootSurg","J. Foot Surg.","Journal of Foot Surgery"
"JForensicSci","J. Forensic Sci.","Journal of Forensic Sciences"
"JForRes","J. For. Res.","Journal of Forest Research"
"JFragmentationSci","J. Fragmentation Sci.","Journal of Fragmentation Science"
"JFreshEcol","J. Fresh. Ecol.","Journal of Freshwater Ecology"
"JGastroenterol","J. Gastroenterol.","Journal of Gastroenterology"
"JGastroenterolHepatol","J. Gastroenterol. Hepatol.","Journal of Gastroenterology and Hepatology"
"JGenderCultHealth","J. Gender Cult. Health","Journal of Gender, Culture, and Health"
"JGenInternMed","J. Gen. Intern. Med.","Journal of General Internal Medicine"
"JGenMicrobiol","J. Gen. Microbiol.","Journal of General Microbiology"
"JGenPhysiol","J. Gen. Physiol.","Journal of General Physiology"
"JGenPsychol","J. Gen. Psychol.","Journal of General Psychology"
"JGenVirol","J. Gen. Virol.","Journal of General Virology"
"JGenetPsychol","J. Genet. Psychol.","Journal of Genetic Psychology"
"JGenet","J. Genet.","Journal of Genetics"
"JGeogrSci","J. Geogr. Sci.","Journal of Geographical Sciences"
"JGeogrSyst","J. Geogr. Syst.","Journal of Geographical Systems"
"JGeophysRes","J. Geophys. Res.","Journal of Geophysical Research"
"JGeriatrPsychiatryNeurol","J. Geriatr. Psychiatry Neurol.","Journal of Geriatric Psychiatry and Neurology"
"JGerontol","J. Gerontol.","Journal of Gerontology"
"JGravitPhysiol","J. Gravit. Physiol.","Journal of Gravitational Physiology"
"JHandSurgAm","J. Hand Surg. [Am]","Journal of Hand Surgery. American Volume"
"JHandSurgBr","J. Hand Surg. [Br]","Journal of Hand Surgery. British Volume"
"JHealthSocBehav","J. Health Soc. Behav.","Journal of Health and Social Behavior"
"JHealthCarePoorUnderserved","J. Health Care Poor Underserved","Journal of Health Care for the Poor and Underserved"
"JHealthPolitPolicyLaw","J. Health Polit. Policy Law","Journal of Health Politics, Policy and Law"
"JHeartLungTransplant","J. Heart Lung Transplant.","Journal of Heart and Lung Transplantation"
"JHelminthol","J. Helminthol.","Journal of Helminthology"
"JHematother","J. Hematother.","Journal of Hematotherapy"
"JHematotherStemCellRes","J. Hematother. Stem Cell Res.","Journal of Hematotherapy & Stem Cell Research"
"JHepatol","J. Hepatol.","Journal of Hepatology"
"JHered","J. Hered.","Journal of Heredity"
"JHistochemCytochem","J. Histochem. Cytochem.","Journal of Histochemistry and Cytochemistry"
"JHomelandSecurity","J. Homeland Security","Journal of Homeland Security"
"JHomosex","J. Homosex.","Journal of Homosexuality"
"JHoticSciTech","J. Hortic. Sci. Tech.","Journal of Horticultural Science & Technology"
"JHospInfect","J. Hosp. Infect.","Journal of Hospital Infection"
"JHumErgol","J. Hum. Ergol.","Journal of Human Ergology"
"JHumEvol","J. Hum. Evol.","Journal of Human Evolution"
"JHumHypertens","J. Hum. Hypertens.","Journal of Human Hypertension"
"JHumLact","J. Hum. Lact.","Journal of Human Lactation"
"JHumNutrDiet","J. Hum. Nutr. Diet.","Journal of Human Nutrition & Dietetics"
"JHydrol","J. Hydrol.","Journal of Hydrology"
"JHydrolmeteor","J. Hydrometeor.","Journal of Hydrometeorology"
"JHygEpidemiolMicrobiolImmunol","J. Hyg. Epidemiol. Microbiol. Immunol.","Journal of Hygiene, Epidemiology, Microbiology and Immunology"
"JHypertens","J. Hypertens.","Journal of Hypertension"
"JHypertensSuppl","J. Hypertens. Suppl.","Journal of Hypertension. Supplement"
"JImgGuidedSurg","J. Img. Guided Surg.","Journal of Image Guided Surgery"
"JImmunoassay","J. Immunoassay","Journal of Immunoassay"
"JImmunolMethods","J. Immunol. Methods","Journal of Immunological Methods"
"JImmunol","J. Immunol.","Journal of Immunology"
"JImmunother","J. Immunother.","Journal of Immunotherapy"
"JInVitroFertEmbryoTransf","J. In Vitro Fert. Embryo Transf.","Journal of In Vitro Fertilization and Embryo Transfer"
"JIndustMicrobiol","J. Indust. Microbiol.","Journal of Industrial Microbiology"
"JInfect","J. Infect.","Journal of Infection"
"JInfectDis","J. Infect. Dis.","Journal of Infectious Diseases"
"JInflamm","J. Inflamm.","Journal of Inflammation"
"JInfusNurs","J. Infus. Nurs.","Journal of Infusion Nursing"
"JInheritMetabDis","J. Inherit. Metab. Dis.","Journal of Inherited Metabolic Disease"
"JInnerMongAgrUniv","J. Inner Mongol. Agric. Univ.","Journal of Inner Mongolia Agricultural University"
"JInorgBiochem","J. Inorg. Biochem.","Journal of Inorganic Biochemistry"
"JInsectBehav","J. Insect Behav.","Journal of Insect Behaviour"
"JInsectCons","J. Insect Cons.","Journal of Insect Conservation"
"JInsectPhysiol","J. Insect Physiol.","Journal of Insect Physiology"
"JIntegrPlantBiol","J. Integr. Plant Biol.","Journal of Integrative Plant Biology"
"JIntellectualDisabilRes","J. Intellectual Disabil. Res.","Journal of Intellectual Disability Research"
"JIntensivCareMed","J. Intensiv. Care Med.","Journal of Intensive Care Medicine"
"JInterferonCytokineRes","J. Interferon Cytokine Res.","Journal of Interferon and Cytokine Research"
"JIntEcon","J. Int. Econ.","Journal of Internal Economics"
"JInternMed","J. Intern. Med.","Journal of Internal Medicine"
"JInternMedSuppl","J. Intern. Med. Suppl.","Journal of Internal Medicine. Supplement ("
"JIntDev","J. Int. Dev.","Journal of International Development"
"JIntEcon","J. Int. Econ.","Journal of International Economics"
"JIntMedRes","J. Int. Med. Res.","Journal of International Medical Research"
"JINS","JINS","Journal of International Neuropsychological Society"
"JIntWildlLawPolicy","J. Int. Wildl. Law Policy","Journal of International Wildlife Law & Policy"
"JInvertebrPathol","J. Invertebr. Pathol.","Journal of Invertebrate Pathology"
"JInvestDermatol","J. Invest Dermatol.","Journal of Investigative Dermatology"
"JInvestSurg","J. Invest. Surg.","Journal of Investigative Surgery"
"JKoreanMedSci","J. Korean Med. Sci.","Journal of Korean Medical Science"
"JLabClinMed","J. Lab. Clin. Med.","Journal of Laboratory and Clinical Medicine"
"JLaryngolOtol","J. Laryngol. Otol.","Journal of Laryngology and Otology"
"JLaryngolOtolSuppl","J. Laryngol. Otol. Suppl.","Journal of Laryngology and Otology. Supplement"
"JLegMed","J. Leg. Med.","Journal of Legal Medicine"
"JLeukocBiol","J. Leukoc. Biol.","Journal of Leukocyte Biology"
"JLM","JLM","Journal of Lipid Mediators"
"JLipidMediatCellSignal","J. Lipid Mediat. Cell Signal.","Journal of Lipid Mediators and Cell Signalling"
"JLipidRes","J. Lipid Res.","Journal of Lipid Research"
"JMagnResonImaging","J. Magn. Reson. Imaging","Journal of Magnetic Resonance Imaging"
"JMammal","J. Mammal.","Journal of Mammalogy"
"JMammaryGlandBiolNeoplasia","J. Mammary Gland Biol. Neoplasia","Journal of Mammary Gland Biology and Neoplasia"
"JManipulativePhysiolTher","J. Manipulative Physiol. Ther.","Journal of Manipulative and Physiological Therapeutics"
"JMPT","JMPT","Journal of Manipulative and Physiological Therapeutics"
"jmr","J. Mar. Res.","Journal of Marine Research"
"JMassSpectrom","J. Mass Spectrom.","Journal of Mass Spectrometry"
"JMathBiol","J. Math. Biol.","Journal of Mathematical Biology"
"JMedVetMycol","J. Med. Vet. Mycol.","Journal of Medical and Veterinary Mycology"
"JMedEngTechnol","J. Med. Eng. Technol.","Journal of Medical Engineering and Technology"
"JMedEntomol","J. Med. Entomol.","Journal of Medical Entomology"
"JMedEthics","J. Med. Ethics","Journal of Medical Ethics"
"JMedGenet","J. Med. Genet.","Journal of Medical Genetics"
"JMedInvest","J. Med. Invest.","Journal of Medical Investigation"
"JMedMicrobiol","J. Med. Microbiol.","Journal of Medical Microbiology"
"JMedPrimatol","J. Med. Primatol.","Journal of Medical Primatology"
"JMedSci","J. Med. Sci.","Journal of Medical Sciences"
"JMedSyst","J. Med. Syst.","Journal of Medical Systems"
"JMedVirol","J. Med. Virol.","Journal of Medical Virology"
"JMedChem","J. Med. Chem.","Journal of Medicinal Chemistry"
"JMed","J. Med.","Journal of Medicine"
"JMedPhilos","J. Med. Philos.","Journal of Medicine and Philosophy"
"JMembrBiol","J. Membr. Biol.","Journal of Membrane Biology"
"JMemLang","J. Mem. Lang.","Journal of Memory and Language"
"JMentDeficRes","J. Ment. Defic. Res.","Journal of Mental Deficiency Research"
"JMDR","JMDR","Journal of Mental Deficiency Research"
"JMentHealth","J. Ment. Health","Journal of Mental Health"
"JMicrobiolMeth","J. Microbiol. Meth.","Journal of Microbiological Methods"
"JMicroencapsul","J. Microencapsul.","Journal of Microencapsulation"
"JMicrosc","J. Microsc.","Journal of Microscopy"
"JMicrowPowerElectromagnEnergy","J. Microw. Power Electromagn. Energy","Journal of Microwave Power and Electromagnetic Energy"
"JMolCellCardiol","J. Mol. Cell. Cardiol.","Journal of Molecular and Cellular Cardiology"
"JMolBiol","J. Mol. Biol.","Journal of Molecular Biology"
"JMolCatalA:Chemical","J. Mol. Catal. A: Chemical","Journal of Molecular Catalysis A: Chemical"
"JMolCatalB:Enzymatic","J. Mol. Catal. B: Enzymatic","Journal of Molecular Catalysis B: Enzymatic"
"JMolEndocrinol","J. Mol. Endocrinol.","Journal of Molecular Endocrinology"
"JMolEvol","J. Mol. Evol.","Journal of Molecular Evolution"
"JMolGraph","J. Mol. Graph.","Journal of Molecular Graphics & Modelling"
"JMolMed","J. Mol. Med.","Journal of Molecular Medicine"
"JMolModel","J. Mol. Model","Journal of Molecular Modelling"
"JMolNeurosci","J. Mol. Neurosci.","Journal of Molecular Neuroscience"
"JMolRecognit","J. Mol. Recognit.","Journal of Molecular Recognition"
"JMR","JMR","Journal of Molecular Recognition"
"JMolSpect","J. Mol. Spect.","Journal of Molecular Spectroscopy"
"JMorphol","J. Morphol.","Journal of Morphology"
"JMuscleResCellMotil","J. Muscle Res. Cell Motil.","Journal of Muscle Research and Cell Motility"
"JNatProd","J. Nat. Prod.","Journal of Natural Products"
"JNatRemedies","J. Nat. Remedies","Journal of Natural Remedies"
"JNegatObservGeneticOncol","J. Negat. Observ. Genetic Oncol.","Journal of Negative Observations in Genetic Oncology"
"JNegatResultsEcolEvolBiol","J. Negat. Results Ecol. Evol. Biol.","Journal of Negative Results - Ecology & Evolutionary Biology"
"JNegatResultsBiomed","J. Negat. Results Biomed.","Journal of Negative Results in Biomedicine"
"JNervMentDis","J. Nerv. Ment. Dis.","Journal of Nervous and Mental Disease"
"JNeuralTransmGenSect","J. Neural Transm. Gen. Sect.","Journal of Neural Transmission. General Section"
"JNeuralTransmParkDisDementSect","J. Neural Transm. Park. Dis. Dement. Sect.","Journal of Neural Transmission. Parkinsons Disease and Dementia Section"
"JNeuralTransmSuppl","J. Neural Transm. Suppl.","Journal of Neural Transmission. Supplementum"
"JNeuralTransplantPlast","J. Neural Transplant. Plast.","Journal of Neural Transplantation and Plasticity"
"JNeurooncol","J. Neurooncol.","Journal of Neuro- Oncology"
"JNO","JNO","Journal of Neuro-Oncology"
"JNeurobiol","J. Neurobiol.","Journal of Neurobiology"
"JNeurochem","J. Neurochem.","Journal of Neurochemistry"
"JNeurocytol","J. Neurocytol.","Journal of Neurocytology"
"JNeuroendocrinol","J. Neuroendocrinol.","Journal of Neuroendocrinology"
"JNeurogenet","J. Neurogenet.","Journal of Neurogenetics"
"JNeuroimmunol","J. Neuroimmunol.","Journal of Neuroimmunology"
"JNeurol","J. Neurol.","Journal of Neurology"
"JNeurolNeurosurgPsychiatry","J. Neurol Neurosurg. Psychiatry","Journal of Neurology, Neurosurgery and Psychiatry"
"JNeuropatholExpNeurol","J. Neuropathol. Exp. Neurol.","Journal of Neuropathology and Experimental Neurology"
"JNeurophysiol","J. Neurophysiol.","Journal of Neurophysiology"
"JNeurphysiol","J. Neurphysiol.","Journal of Neurophysiology"
"JNeuroradiol","J. Neuroradiol.","Journal of Neuroradiology. Journal de Neuroradiologie"
"JNeurosci","J. Neurosci.","Journal of Neuroscience"
"JNeurosciMethods","J. Neurosci. Methods","Journal of Neuroscience Methods"
"JNeurosciNurs","J. Neurosci. Nurs.","Journal of Neuroscience Nursing"
"JNeurosciRes","J. Neurosci. Res.","Journal of Neuroscience Research"
"JNeurosurg","J. Neurosurg.","Journal of Neurosurgery"
"JNeursurg","J. Neursurg.","Journal of Neurosurgery"
"JNeurosurgSci","J. Neurosurg. Sci.","Journal of Neurosurgical Sciences"
"JNeurotrauma","J. Neurotrauma.","Journal of Neurotrauma"
"JNeurovirol","J. Neurovirol.","Journal of Neurovirology"
"JNihonUnivSchDent","J. Nihon. Univ. Sch. Dent.","Journal of Nihon University School of Dentistry"
"JNUniv","J. Northeastern Univ.","Journal of Northeastern University"
"JNAFUniv","J. Northwest Agricult. Foretry Univ.","Journal of Northwest Agricultural & Foretry University"
"jnafs","J. Northwest Atl. Fish. Sci.","Journal of Northwest Atlantic Fisheries Sciences"
"JNuclBiolMed","J. Nucl. Biol. Med.","Journal of Nuclear Biology and Medicine"
"JNuclMed","J. Nucl. Med.","Journal of Nuclear Medicine"
"JNM","JNM","Journal of Nuclear Medicine"
"JNursAdm","J. Nurs. Adm.","Journal of Nursing Administration"
"JNursEduc","J. Nurs. Educ.","Journal of Nursing Education"
"JNursManag","J. Nurs. Manag.","Journal of Nursing Management"
"JNutr","J. Nutr.","Journal of Nutrition"
"JNutrElderly","J. Nutr. Elderly","Journal of Nutrition for the Elderly"
"JNutrBiochem","J. Nutr. Biochem.","Journal of Nutritional Biochemistry"
"JNutrSciVitaminolTokyo","J. Nutr. Sci. Vitaminol.","Journal of Nutritional Science and Vitaminology"
"JObstetGynecolNeonatalNurs","J. Obstet. Gynecol. Neonatal. Nurs.","Journal of Obstetric, Gynecologic, and Neonatal Nursing"
"JOGNN","JOGNN","Journal of Obstetric, Gynecologic, and Neonatal Nursing"
"JOccupMed","J. Occup. Med.","Journal of Occupational Medicine"
"JOculPharmacol","J. Ocul. Pharmacol.","Journal of Ocular Pharmacology"
"JOralMaxillofacSurg","J. Oral Maxillofac. Surg.","Journal of Oral and Maxillofacial Surgery"
"JOralPatholMed","J. Oral Pathol. Med.","Journal of Oral Pathology and Medicine"
"JOralRehabil","J. Oral Rehabil.","Journal of Oral Rehabilitation"
"JOrganicChem","J. Organic Chem.","Journal of Organic Chemistry"
"JOrganometChem","J. Organomet. Chem.","Journal of Organometallic Chemistry"
"JOrthomolMed","J. Orthomol. Med.","Journal of Orthomolecular Medicine"
"JOrthopSportsPhysTher","J. Orthop. Sports Phys. Ther.","Journal of Orthopaedic and Sports Physical Therapy"
"JOrthopRes","J. Orthop. Res.","Journal of Orthopaedic Research"
"JOrthopSci","J. Orthop. Sci.","Journal of Orthopaedic Science"
"JOrthopTech","J. Orthop. Tech.","Journal of Orthopaedic Techniques"
"JOrthopTrauma","J. Orthop. Trauma","Journal of Orthopaedic Trauma"
"JOtolaryngol","J. Otolaryngol.","Journal of Otolaryngology"
"JPaediatrChildHealth","J. Paediatr. Child Health","Journal of Paediatrics and Child Health"
"JPalliatCare","J. Palliat. Care","Journal of Palliative Care"
"JParasitol","J. Parasitol.","Journal of Parasitology"
"JParenterSciTechnol","J. Parenter. Sci. Technol.","Journal of Parenteral Science and Technology"
"JPathol","J. Pathol.","Journal of Pathology"
"JPeaceRes","J. Peace Res.","Journal of Peace Research"
"JPediatrHematolOncol","J. Pediatr. Hematol. Oncol.","Journal of Pediatric Hematol Oncol"
"JPediatrNeurol","J. Pediatr. Neurol.","Journal of Pediatric Neurology"
"JPediatrOphthalmolStrabismus","J. Pediatr. Ophthalmol. Strabismus","Journal of Pediatric Ophthalmology and Strabismus"
"JPediatrOrthop","J. Pediatr. Orthop.","Journal of Pediatric Orthopedics"
"JPediatrPsychol","J. Pediatr. Psychol.","Journal of Pediatric Psychology"
"JPediatrSurg","J. Pediatr. Surg.","Journal of Pediatric Surgery"
"JPediatr","J. Pediatr.","Journal of Pediatrics"
"JPediatrGastroenterolNutr","J. Pediatr. Gastroenterol. Nutr.","Journal of Pediatrics Gastroenterology and Nutrition"
"JPeptideRes","J. Peptide Res.","Journal of Peptide Research"
"JPerinatMed","J. Perinat. Med.","Journal of Perinatal Medicine"
"JPeriodontRes","J. Periodont. Res.","Journal of Periodontal Research"
"JPeriodontol","J. Periodontol.","Journal of Periodontology"
"JPers","J. Pers.","Journal of Personality"
"JPersSocPsychol","J. Pers. Soc. Psychol.","Journal of Personality and Social Psychology"
"JPersAssess","J. Pers. Assess.","Journal of Personality Assessment"
"JPersDisord","J. Pers. Disord.","Journal of Personality Disorders"
"JPharmBiomedAnal","J. Pharm. Biomed. Anal.","Journal of Pharmaceutical and Biomedical Analysis"
"JPharmMed","J. Pharm. Med.","Journal of Pharmaceutical Medicine"
"JPharmSci","J. Pharm. Sci.","Journal of Pharmaceutical Sciences"
"JPharmacobiodyn","J. Pharmacobiodyn.","Journal of Pharmacobio-Dynamics"
"JPharmacokinetBiopharm","J. Pharmacokinet. Biopharm.","Journal of Pharmacokinetics and Biopharmaceutics"
"JPharmacolToxicolMethods","J. Pharmacol. Toxicol. Methods","Journal of Pharmacological Toxicol Methods"
"JPharmacolExpTher","J. Pharmacol. Exp. Ther.","Journal of Pharmacology and Experimental Therapeutics"
"JPharmPharmacol","J. Pharm. Pharmacol.","Journal of Pharmacy and Pharmacology"
"JPhotochemPhotobiolB","J. Photochem. Photobiol. B","Journal of Photochemistry and Photobiology. B, Biology"
"JPhycol","J. Phycol.","Journal of Phycology"
"JPhysicalChem","J. Physical Chem.","Journal of Physical Chemistry"
"JPhysiolLond","J. Physiol.","Journal of Physiology"
"JPhysiolPharmacol","J. Physiol. Pharmacol.","Journal of Physiology and Pharmacology"
"JPhytopath","J. Phytopath.","Journal of Phytopathology"
"JPinealRes","J. Pineal Res.","Journal of Pineal Research"
"JPlanktonRes","J. Plankton Res.","Journal of Plankton Research"
"JPlantEcolAPS","J. Plant Ecol.","Journal of Plant Ecology (Acta Phytoecologica Sinica)"
"JPlantNutr","J. Plant Nutr.","Journal of Plant Nutrition"
"JPlantNutrSoilSci","J. Plant Nutr. Soil Sci.","Journal of Plant Nutrition and Soil Science"
"JPlantPhysiol","J. Plant Physiol.","Journal of Plant Physiology"
"jpe","J. Pol. Econ.","Journal of Political Econnomics"
"JPostgradMed","J. Postgrad. Med.","Journal of Postgraduate Medicine"
"JProfNurs","J. Prof. Nurs.","Journal of Professional Nursing"
"JProsthetDent","J. Prosthet. Dent.","Journal of Prosthetic Dentistry"
"JProteinChem","J. Protein Chem.","Journal of Protein Chemistry"
"JProteomeRes","J. Proteome Res.","Journal of Proteome Research"
"JProtozool","J. Protozool.","Journal of Protozoology"
"JProtozoolRes","J. Protozool. Res.","Journal of Protozoology Research"
"JPsychiatrMentalHealthNurs","J. Psychiatr. Mental Health Nurs.","Journal of Psychiatric & Mental Health Nursing"
"JPsychiatrRes","J. Psychiatr. Res.","Journal of Psychiatric Research"
"JPsychiatryNeurosci","J. Psychiatry Neurosci.","Journal of Psychiatry and Neuroscience"
"JPsychoactiveDrugs","J. Psychoactive Drugs","Journal of Psychoactive Drugs"
"JPsycholinguistRes","J. Psycholinguist Res.","Journal of Psycholinguistic Research"
"JPsychol","J. Psychol.","Journal of Psychology"
"JPsycholHumSex","J. Psychol. Hum. Sex.","Journal of Psychology and Human Sexuality"
"JPsychopharmacol","J. Psychopharmacol.","Journal of Psychopharmacology"
"JPsychosocNursMentHealthServ","J. Psychosoc. Nurs. Ment. Health Serv.","Journal of Psychosocial Nursing and Mental Health Services"
"JPsychosocOncol","J. Psychosoc. Oncol.","Journal of Psychosocial Oncology"
"JPsychosomRes","J. Psychosom. Res.","Journal of Psychosomatic Research"
"JPsychotherPractRes","J. Psychother. Pract. Res.","Journal of Psychotherapy Practice and Research"
"JPublicHealthDent","J. Public Health Dent.","Journal of Public Health Dentistry"
"JPublicHealthMed","J. Public Health Med.","Journal of Public Health Medicine"
"JPublicHealthPolicy","J. Public Health Policy","Journal of Public Health Policy"
"JQualityClinPract","J. Quality Clin. Pract.","Journal of Quality in Clinical Practice"
"JQuantTraitLoci","J. Quant. Trait Loci","Journal of Quantitative Trait Loci"
"JRadiatResTokyo","J. Radiat. Res.","Journal of Radiation Research"
"JRadiolProt","J. Radiol. Prot.","Journal of Radiological Protection"
"JRangeManage","J. Range Manage.","Journal of Range Management"
"JReceptRes","J. Recept. Res.","Journal of Receptor Research"
"JReconstrMicrosurg","J. Reconstr. Microsurg.","Journal of Reconstructive Microsurgery"
"JRehabilResDev","J. Rehabil. Res. Dev.","Journal of Rehabilitation Research and Development"
"JRehabilResDevClinSuppl","J. Rehabil. Res. Dev. Clin. Suppl.","Journal of Rehabilitation Research and Development. Clinical Supplement"
"JReprodDev","J. Reprod. Dev.","Journal of Reproduction and Development"
